t x0 x1 x2 x3 u w V_max
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002000 0.000000 0.000386 0.000000 0.000386 -5.000000 5.100000 1.000000
0.004000 0.000001 0.039394 0.000001 0.039394 5.000000 5.100000 1.000000
0.006000 0.000080 0.077119 0.000080 0.077119 5.000000 5.100000 1.000021
0.008000 0.000234 0.113604 0.000234 0.113604 5.000000 5.100000 1.000182
0.010000 0.000461 0.148892 0.000461 0.148892 5.000000 5.100000 1.000709
0.012000 0.000759 0.183023 0.000759 0.183023 5.000000 5.100000 1.001922
0.014000 0.001125 0.216036 0.001125 0.216036 5.000000 5.100000 1.004228
0.016000 0.001557 0.218993 0.001557 0.218993 -2.500000 5.100000 1.008102
0.018000 0.001995 0.221859 0.001995 0.221859 -2.500000 5.100000 1.013303
0.020000 0.002439 0.224636 0.002439 0.224636 -2.500000 5.100000 1.019881
0.022000 0.002888 0.227329 0.002888 0.227329 -2.500000 5.100000 1.027886
0.024000 0.003343 0.220281 0.003343 0.220281 -5.000000 5.100000 1.037353
0.026000 0.003783 0.223130 0.003783 0.223130 -2.500000 5.100000 1.047859
0.028000 0.004229 0.225891 0.004229 0.225891 -2.500000 5.100000 1.059831
0.030000 0.004681 0.218909 0.004681 0.218909 -5.000000 5.100000 1.073294
0.032000 0.005119 0.221822 0.005119 0.221822 -2.500000 5.100000 1.087673
0.034000 0.005563 0.224645 0.005563 0.224645 -2.500000 5.100000 1.103563
0.036000 0.006012 0.217723 0.006012 0.217723 -5.000000 5.100000 1.120975
0.038000 0.006447 0.220693 0.006447 0.220693 -2.500000 5.100000 1.139191
0.040000 0.006889 0.223572 0.006889 0.223572 -2.500000 5.100000 1.158971
0.042000 0.007336 0.216704 0.007336 0.216704 -5.000000 5.100000 1.180304
0.044000 0.007769 0.219727 0.007769 0.219727 -2.500000 5.100000 1.202341
0.046000 0.008209 0.222656 0.008209 0.222656 -2.500000 5.100000 1.225998
0.048000 0.008654 0.215838 0.008654 0.215838 -5.000000 5.100000 1.251243
0.050000 0.009086 0.218907 0.009086 0.218907 -2.500000 5.100000 1.277099
0.052000 0.009524 0.221882 0.009524 0.221882 -2.500000 5.100000 1.304638
0.054000 0.009967 0.215108 0.009967 0.215108 -5.000000 5.100000 1.333800
0.056000 0.010398 0.218220 0.010398 0.218220 -2.500000 5.100000 1.363490
0.058000 0.010834 0.221236 0.010834 0.221236 -2.500000 5.100000 1.394929
0.060000 0.011276 0.214502 0.011276 0.214502 -5.000000 5.100000 1.428029
0.062000 0.011705 0.217653 0.011705 0.217653 -2.500000 5.100000 1.461580
