t x1 x2 u V
0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.000000 0.283333 -0.010000 19.182888
0.020000 0.002833 0.566667 -0.010000 18.143929
0.030000 0.008500 0.847222 -0.010000 17.105631
0.040000 0.016972 1.122215 -0.010000 16.085186
0.050000 0.028194 1.388873 -0.010000 15.087792
0.060000 0.042083 1.644460 -0.010000 14.087137
0.070000 0.058528 1.886299 -0.010000 13.099478
0.080000 0.077391 2.111794 -0.010000 12.143530
0.090000 0.098509 2.318462 -0.010000 11.145978
0.100000 0.121693 2.503959 -0.010000 10.188318
0.110000 0.146733 2.666108 -0.010000 9.210262
0.120000 0.173394 2.802935 -0.010000 8.247499
0.130000 0.201423 2.912694 -0.010000 7.268709
0.140000 0.230550 2.993899 -0.010000 6.310136
0.150000 0.260489 3.045352 -0.010000 5.319075
0.160000 0.290943 3.066162 -0.010000 4.349738
0.170000 0.321604 3.055769 -0.010000 3.351665
0.180000 0.352162 3.013954 -0.010000 2.360839
0.190000 0.382302 2.940847 -0.010000 1.353209
0.200000 0.411710 2.836927 -0.010000 0.000000
